GEOID	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG
13205	4.97	0.07	43.0533371	-77.6842487
13206	5.497	0.076	43.0335452	-77.6867472
13300	30.332	0.373	42.9713291	-77.6731429
13401	1.717	0.163	43.2649686	-77.6359915
13402	4.54	3.448	43.2973331	-77.694532
13503	6.364	0.178	43.2933785	-77.7293844
13505	0.94	0	43.2170278	-77.7063916
13506	4.329	0	43.2289273	-77.7280052
13507	2.061	0	43.2520335	-77.7072698
13508	3.886	0	43.2584456	-77.7338493
13601	0.934	0	43.2420711	-77.6529987
13603	3.114	0	43.2618191	-77.6746445
13604	1.784	0	43.2453684	-77.6788132
13701	0.555	0	43.2458294	-77.6300868
13702	1.039	0	43.2490356	-77.6401994
13800	0.88	0	43.2287439	-77.6376411
13901	0.872	0	43.2226336	-77.6507716
13902	0.534	0	43.2099077	-77.6527061
14001	1.928	0	43.2310289	-77.677947
14003	0.99	0	43.2160902	-77.6867451
14004	1.176	0	43.2146208	-77.6682627
14102	1.963	0	43.1994234	-77.6830007
14103	1.658	0	43.2049938	-77.7156576
14104	6.269	0.083	43.1921265	-77.7243233
14202	5.654	0.017	43.1471742	-77.7371012
14203	1.594	0	43.1719709	-77.7170303
14204	1.429	0.001	43.1536877	-77.7244289
14301	1.067	0.026	43.1695315	-77.6909249
14302	1.979	0.012	43.1533735	-77.7043716
14400	3.421	0.019	43.1382879	-77.6884913
14501	2.376	0.023	43.1156192	-77.7605899
14503	1.324	0.002	43.1199795	-77.7352914
14504	2.728	0	43.1150546	-77.7065612
14505	2.27	0	43.1140515	-77.7977835
14601	10.168	0.044	43.0727637	-77.8076578
14602	19.879	0.313	43.0744693	-77.7435876
14700	30.411	0.261	43.0092222	-77.8159281
14802	25.83	0	43.2392389	-77.8043179
14803	10.414	0.96	43.3181032	-77.7850479
14804	5.779	0	43.2881457	-77.785985
14901	3.633	0.08	43.1857382	-77.8104262
14903	20.63	0.12	43.1574111	-77.8489406
14905	4.828	0.006	43.1435351	-77.7686635
14906	7.387	0.051	43.1745725	-77.7905733
15000	34.961	0.266	43.0772852	-77.8725573
15101	20.369	0.492	43.3157886	-77.8755129
15102	23.099	0.63	43.3307103	-77.9528648
15200	33.179	0.005	43.2450596	-77.9324553
15301	1.141	0.012	43.204848	-77.9609087
15303	1.248	0	43.2036061	-77.9387981
15304	1.873	0.056	43.2161824	-77.9306616
15400	29.418	0.084	43.1765843	-77.9255865
980000	2.157	0.026	43.1212258	-77.6686031
980100	1.199	0.27	43.2326176	-77.5682474
